,Unnamed: 0,Date, Time, Left_pos.x, Left_pos.y, Left_pos.z, Left_rot.x, Left_rot.y, Left_rot.z, EDA, BVP, TMP, combined_x, combined_y, combined_z, r_bit, r_open, r_dir_x, r_dir_y, r_dir_z, r_gaze_origin_x, r_gaze_origin_y, r_gaze_origin_z, r_pupil, r_pupil_pos, r_pupil_pos_x, r_pupil_pos_y, r_frown, r_squeeze, r_widel_bit, l_open, l_dir_x, l_dir_y, l_dir_z, l_gaze_origin_x, l_gaze_origin_y, l_gaze_origin_z, l_pupil, l_pupil_pos, l_pupil_pos_x, l_pupil_pos_y, l_frown, l_squeeze, l_wide
39,39,20210608, 16:22:33,0.09712195,1.248916,-0.1869875,-0.0247959,0.7789097,0.05361611, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.05194092,-0.117691,0.991684,31,0.967211,0.05128479,-0.1178894,0.9916992,-34.50679,2.950851,-34.46068,3.541595,0.6107489,0.5618292,0,0,0,31,0.9207487,0.2209015,-0.06538391,0.9730988,36.34792,4.94931,-32.23253,4.348999,0.3431771,0.4487013,0,0,0,
40,40,20210608, 16:22:33,0.09712195,1.248916,-0.1869875,-0.0247959,0.7789097,0.05361611, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.05194092,-0.117691,0.991684,31,0.967211,0.05128479,-0.1178894,0.9916992,-34.50679,2.950851,-34.46068,3.541595,0.6107489,0.5618292,0,0,0,31,0.9207487,0.2209015,-0.06538391,0.9730988,36.34792,4.94931,-32.23253,4.348999,0.3431771,0.4487013,0,0,0,
41,41,20210608, 16:22:33,0.09712195,1.248916,-0.1869875,-0.0247959,0.7789097,0.05361611, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.05194092,-0.117691,0.991684,31,0.967211,0.05128479,-0.1178894,0.9916992,-34.50679,2.950851,-34.46068,3.541595,0.6107489,0.5618292,0,0,0,31,0.9207487,0.2209015,-0.06538391,0.9730988,36.34792,4.94931,-32.23253,4.348999,0.3431771,0.4487013,0,0,0,
42,42,20210608, 16:22:33,0.09723115,1.248999,-0.18677,-0.02468357,0.7788558,0.05383868, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.05337524,-0.09884644,0.9936676,31,0.9505355,0.05337524,-0.09884644,0.9936676,-34.51408,2.954102,-34.46863,3.54274,0.6107509,0.559352,0,0,0,31,0.9297754,0.2136841,-0.06143188,0.9749603,36.32797,4.976486,-32.35973,4.268005,0.3446337,0.4482668,0,0,0,
43,43,20210608, 16:22:33,0.09723115,1.248999,-0.18677,-0.02468357,0.7788558,0.05383868, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.05337524,-0.09884644,0.9936676,31,0.9505355,0.05337524,-0.09884644,0.9936676,-34.51408,2.954102,-34.46863,3.54274,0.6107509,0.559352,0,0,0,31,0.9297754,0.2136841,-0.06143188,0.9749603,36.32797,4.976486,-32.35973,4.268005,0.3446337,0.4482668,0,0,0,
44,44,20210608, 16:22:33,0.09723115,1.248999,-0.18677,-0.02468357,0.7788558,0.05383868, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.05337524,-0.09884644,0.9936676,31,0.9505355,0.05337524,-0.09884644,0.9936676,-34.51408,2.954102,-34.46863,3.54274,0.6107509,0.559352,0,0,0,31,0.9297754,0.2136841,-0.06143188,0.9749603,36.32797,4.976486,-32.35973,4.268005,0.3446337,0.4482668,0,0,0,
45,45,20210608, 16:22:33,0.09729242,1.249001,-0.1864699,-0.02436412,0.778724,0.05418238, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.118866,-0.08625793,0.989151,31,0.9616233,0.05244446,-0.1048126,0.993103,-34.51602,2.955566,-34.46593,3.510666,0.6108895,0.5600131,0,0,0,31,0.9263599,0.2118988,-0.0592804,0.9754791,36.32228,4.955597,-32.26187,4.236786,0.3452352,0.4479051,0,0,0,
46,46,20210608, 16:22:33,0.09729242,1.249001,-0.1864699,-0.02436412,0.778724,0.05418238, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.118866,-0.08625793,0.989151,31,0.9616233,0.05244446,-0.1048126,0.993103,-34.51602,2.955566,-34.46593,3.510666,0.6108895,0.5600131,0,0,0,31,0.9263599,0.2118988,-0.0592804,0.9754791,36.32228,4.955597,-32.26187,4.236786,0.3452352,0.4479051,0,0,0,
47,47,20210608, 16:22:33,0.09729242,1.249001,-0.1864699,-0.02436412,0.778724,0.05418238, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.118866,-0.08625793,0.989151,31,0.9616233,0.05244446,-0.1048126,0.993103,-34.51602,2.955566,-34.46593,3.510666,0.6108895,0.5600131,0,0,0,31,0.9263599,0.2118988,-0.0592804,0.9754791,36.32228,4.955597,-32.26187,4.236786,0.3452352,0.4479051,0,0,0,
48,48,20210608, 16:22:33,0.09731007,1.248965,-0.1863996,-0.02425024,0.7785099,0.05421997, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.104126,-0.09329224,0.9901733,31,0.9554971,0.05075073,-0.1105194,0.992569,-34.51517,2.958939,-34.46323,3.479507,0.6110281,0.560581,0,0,0,31,0.9344221,0.2113647,-0.05743408,0.975708,36.31746,4.944,-32.20302,4.133881,0.3456557,0.4475434,0,0,0,
